Título do Livro,Autor,Quantidade de Páginas,Tempo de Leitura,Nota Média,Leram,Lendo,Querem,Relendo,Abandonos,Resenhas,Favoritos,Avaliaram
"Até o último de nós - Um por um, todos eles terão o que merecem",Freida McFadden,224 páginas,7h 28m,3.7,10914,306,8012,3,48,2650,108,7773
"Amor, o próprio -",Sofia Menegon,192 páginas,6h 24m,3.5,73,9,450,1,6,10,2,42
A visita do coelho (Five Nights at Freddy’s: Pavores de Fazbear #5) -,Scott Cawthon,224 páginas,7h 28m,3.7,187,19,930,0,2,26,6,68
A vida secreta dos números (Crítica) - Uma história global da matemática e seus pioneiros desconhecidos,"Kate Kitagawa, Timothy Revell",304 páginas,10h 8m,4,11,9,220,0,0,0,0,3
A sabedoria de Charlie Munger -,"Peter D. Kaufman, Charles T. Munger",384 páginas,12h 48m,4,46,24,248,0,1,4,2,20
A mente da criança - Mente absorvente,"Maria Montessori, Daniele Novara",304 páginas,10h 8m,4,20,17,546,0,2,0,1,3
A lista de leitura para corações solitários -,Sara Nisha Adams,352 páginas,11h 44m,4.1,240,53,2497,0,15,59,16,165
A gente mira no amor e acerta na solidão - Edição Especial Limitada -,Ana Suy,176 páginas,5h 52m,4.1,1450,253,4055,15,88,71,43,445
A enchente (Blackwater #1) -,Michael McDowell,272 páginas,9h 4m,3.6,1748,147,1975,0,46,440,27,1442
A arte de ser -,Erich Fromm,192 páginas,6h 24m,3.8,32,13,617,0,2,5,0,9
10x é mais fácil que 2x - Realize mais fazendo menos. Concentre-se no que realmente faz sua empresa crescer. Uma abordagem prática para o trabalho – e a vida,"Benjamin Hardy, Dan Sullivan",240 páginas,8h 0m,4.2,13,9,156,0,1,3,0,6
Você está deixando a sua vida para depois? - Como a psicanálise pode te ajudar a se libertar da pressa e encontrar o seu tempo interior,Nathalia Paccola,144 páginas,4h 48m,3.4,45,19,843,2,6,10,4,17
Vida longa ao mal (Planeta Minotauro) -,Sarah Rees Brennan,464 páginas,15h 28m,4,258,44,1314,0,30,65,26,212
Super-heróis estão em todo lugar -,"Kamala Harris, Mechal Renee Roe",40 páginas,1h 20m,4.2,13,4,72,0,3,4,1,3
Sangue Eterno (Imortais #3) -,Namina Forna,420 páginas,14h 0m,4,47,0,440,0,2,9,6,24
"Só pode ser brincadeira, Sr. Feynman! - As excêntricas aventuras de um físico",Richard P Feynman,368 páginas,12h 16m,4.1,17,5,169,1,3,1,0,4
Pimentas (Nova edição) -,Rubem Alves,224 páginas,7h 28m,4.3,73,12,1208,2,8,18,6,38
Os Tempos do Destino - Reflexões sobre os ciclos da vida e a sabedoria dentro de nós,Márcia Peltier,144 páginas,4h 48m,0,11,17,388,0,3,0,1,0
Os Swifts: Uma Galeria De Vigaristas (Os Swifts #2) -,"Beth Lincoln, Claire Powell",288 páginas,9h 36m,4.9,19,6,280,0,1,1,1,7
O ritual da meia-noite -,Lucy Foley,336 páginas,11h 12m,3.5,1752,111,3883,5,66,432,36,1355
O oráculo do pássaro preto (A descoberta das bruxas #5) -,Deborah Harkness,432 páginas,14h 24m,4.2,116,21,1098,0,7,18,8,54
"O nazista e o psiquiatra - Hermann Göring, Dr. Doulgas M. Kelley, a história real de um encontro de mentes fatal no final da Segunda Guerra Mundial",Jack El-Hai,320 páginas,10h 40m,4,81,33,2082,3,11,14,2,32
O menino que passava a limpo -,"Leo Cunha, Alex Lutkus",32 páginas,1h 4m,4.5,31,27,509,4,9,2,3,8
O familiar -,Leigh Bardugo,416 páginas,13h 52m,3.9,458,54,1713,0,29,110,25,389
O despertar da fênix (The Queen's Council #2) -,Livia Blackburne,320 páginas,10h 40m,4.3,73,8,942,1,4,14,9,48
O complô do casamento -,Kristina Forest,322 páginas,10h 44m,3.7,586,41,2016,1,19,135,16,417
O amor não é óbvio [Edição especial] (Duologia Laranja-forte #1) -,Elayne Baeta,378 páginas,12h 36m,4.5,46174,3618,27528,468,1196,7634,335,36621
Murdle: Volume 3 (Murdle #3) -,G.T. Karber,400 páginas,13h 20m,4.6,19,14,528,2,2,3,1,10
Murdle Jr: Crimes Curiosos Para Mentes Curiosas (Murdle Jr. #1) -,G.T. Karber,240 páginas,8h 0m,4.2,25,17,250,1,4,4,3,10
"Messalina - Imperatriz, adúltera, libertina - A vida da mulher mais escandalosa da Roma Antiga",Honor Cargill-Martin,384 páginas,12h 48m,3.5,17,2,322,1,0,0,0,6
Magia com plantas - Livro prático,Edu Parmeggiani,170 páginas,5h 40m,3.8,22,10,321,4,3,2,0,6
Jogando Comigo (Jogando Para Vencer #2) -,Becka Mack,480 páginas,16h 0m,3.7,426,29,1572,3,12,54,19,251
Helicóptero Vermelho: uma Parábola Para os Nossos Tempos - lidere a mudança com bondade (e um pouquinho de matemática),James Rhee,384 páginas,12h 48m,0,3,0,45,0,0,0,1,0
Godori -,Elaine U. Cho,304 páginas,10h 8m,3.7,25,5,276,0,4,5,0,19
Flor de Pedra -,João Anzanello Carrascoza,240 páginas,8h 0m,3.7,10,3,79,0,0,2,0,7
Feitos um para o outro -,Flavia Biondi,160 páginas,5h 20m,4,111,22,819,1,3,26,6,77
Eu já te contei? - Uma história real sobre o amor de uma mãe e o luto de uma filha,Genevieve Kingston,304 páginas,10h 8m,4.5,36,5,443,0,1,4,2,17
"Era uma vez, talvez -",K.L. Walther,352 páginas,11h 44m,3.6,319,43,2641,6,19,66,20,214
"E eu, não sou intelectual? - Um quase manual de sobrevivência acadêmica",BÁRBARA CARINE,160 páginas,5h 20m,4.5,112,15,676,0,4,26,11,75
Discípulo Sombrio -,Christie Golden,320 páginas,10h 40m,4.3,92,13,300,2,2,16,8,47
Contos de encantamento -,Ruth Guimarães,224 páginas,7h 28m,4.2,18,2,166,1,0,9,1,12
Como treinar o seu dragão (Série Como Treinar o Seu Dragão #Livro 1) -,Cressida Cowell,224 páginas,7h 28m,3.9,745,30,857,2,17,19,8,149
Como ser um pirata (Série Como Treinar o Seu Dragão #Livro 2) -,Cressida Cowell,224 páginas,7h 28m,3.8,251,6,310,2,5,5,3,37
Como falar dragonês (Série Como Treinar o Seu Dragão #Livro 3) -,Cressida Cowell,240 páginas,8h 0m,4,301,18,408,4,12,1,3,48
Céus Misteriosos (Deuses Afogados #2) -,Pascale Lacelle,544 páginas,18h 8m,4.3,215,31,899,3,7,51,38,165
Box - As aventuras de Mike -,Gabriel Dearo,864 páginas,1d 4h 48m,4,138,17,300,7,11,6,5,36
Beleza Feroz -,Jennifer Donnelly,400 páginas,13h 20m,4.2,160,17,887,2,6,35,12,109
Amor Profano: Não Conte Ao Seu Pai -,Zoe X,320 páginas,10h 40m,3.8,4057,297,3535,8,189,660,125,2730
A prova da vida além da vida - 7 razões para acreditar na vida após a morte,"Raymond A. Moody, Paul Perry",240 páginas,8h 0m,3.4,10,10,217,0,1,2,2,4
A origem das espécies -,Charles Darwin,282 páginas,9h 24m,4.4,97,15,663,3,9,4,2,20
"A exploração do Brasil (1700-1800) - Como a descoberta de ouro por um pioneiro azarado, um padre e um assassino consolidou o território brasileiro, salvou uma monarquia e atrasou o futuro de Brasil e Portugal",Thales Guaracy,368 páginas,12h 16m,4.5,11,4,162,1,0,1,3,2
A espada de oleandro (Os Reinos em Chamas #2) -,Tasha Suri,518 páginas,17h 16m,4.4,110,28,599,0,3,31,14,89
WHAT IF… E se… Wanda Maximoff e Peter Parker fossem irmãos? (What If) -,Seanan McGuire,304 páginas,10h 8m,4.2,101,39,671,1,4,18,8,61
Vou te receitar outro gato (Vou Te Receitar Um Gato #2) -,Syou Ishida,208 páginas,6h 56m,4.1,1834,247,7304,4,34,450,95,1308
Você é o que pensa - Edição de Luxo,James Allen,112 páginas,3h 44m,3.2,58,65,1621,0,8,5,11,14
Veneno em seus corações (Castelos em seus ossos #3) -,Laura Sebastian,416 páginas,13h 52m,3.9,264,21,912,0,4,60,13,204
Tormenta -,C.J. Tudor,336 páginas,11h 12m,3.8,1141,99,2357,1,33,308,27,907
Terapeuta de bolso - Liberte-se de velhos padrões e transforme sua vida,Annie Zimmerman,320 páginas,10h 40m,4.2,71,44,992,1,5,12,3,41
Sob a Ponte do Mal -,Loreth Anne White,368 páginas,12h 16m,4.1,1109,58,2207,0,16,304,31,891
Seu balde está cheio? - O poder das emoções positivas para ser bem-sucedido no trabalho e na vida,"Don Clifton, Tom Rath",144 páginas,4h 48m,3.5,21,13,449,1,4,0,2,10
Sendo transformada por Deus em uma Mulher Notável: - um guia para ser transformada pelo Espírito Santo,Meli Melo,412 páginas,13h 44m,4.2,17,13,315,0,3,1,0,3
Sem Coração (Chestnust Springs #2) -,Elsie SIlver,352 páginas,11h 44m,4.3,9979,352,7148,12,107,1715,904,6769
Os números -,Lalau e Laurabeatriz,28 páginas,56m,4,9,3,94,1,1,0,1,2
Olhe de novo - O poder de perceber o que sempre esteve ao seu redor,"Cass R. Sunstein, Tali Sharot",240 páginas,8h 0m,4,30,10,475,0,2,2,0,11
O Pequeno Mentiroso -,Mitch Albom,320 páginas,10h 40m,4.4,120,11,676,0,5,20,9,73
O Implacável Rei Das Fadas (Os Reis De Avalier #3) -,Leia Stone,224 páginas,7h 28m,4,480,22,1370,2,8,94,38,310
O hóspede misterioso (A Camareira #2) -,Nita Prose,272 páginas,9h 4m,3.6,284,35,1565,3,6,56,0,192
O grande universo de Oliver: vulcões são um estouro! (O grande universo de Oliver #2) -,Jorge Cham,232 páginas,7h 44m,4.7,47,22,329,2,7,1,3,5
O detento -,Freida McFadden,272 páginas,9h 4m,3.7,13737,504,9488,6,125,3461,236,9538
"Não é o fim do mundo - Fatos surpreendentes, mitos perigosos e soluções promissoras para o futuro do nosso planeta.",Hannah Ritchie,320 páginas,10h 40m,3.8,18,4,113,0,3,2,1,3
Mufasa: O Rei Leão - Livro oficial com a história do filme,Disney Book Group,192 páginas,6h 24m,4.3,127,67,1297,4,8,13,14,38
Minha história de amor com Yamada-kun nível 999 (Minha história de amor com Yamada-kun nível 999 #1) -,Mashiro,192 páginas,6h 24m,4.4,556,45,590,2,4,39,24,190
Mar da tranquilidade -,Emily St. John Mandel,256 páginas,8h 32m,4,506,40,1521,0,5,107,55,424
Manual para damas (mal) comportadas -,Sophie Irwin,300 páginas,10h 0m,3.8,419,41,1664,1,20,86,6,279
Honey - O aplauso traz o melhor das emoções,Isabel Banta,288 páginas,9h 36m,3.5,47,4,107,0,2,14,2,37
Dando o que falar -,Meryl Wilsner,272 páginas,9h 4m,3.5,382,30,1478,2,18,88,12,264
Como conversar com qualquer pessoa - 92 estratégias para melhorar sua comunicação e seus relacionamentos,Leil Lowndes,240 páginas,8h 0m,3.5,63,42,1233,0,10,8,7,29
Catorze dias - Um romance colaborativo,"Margaret Atwood, Douglas Preston, Charlie Jane Anders",384 páginas,12h 48m,3.6,23,10,728,1,5,1,0,9
"Assumindo o controle - Uma história sobre como encarar a realidade, simplificar processos e gerar grandes resultados","Gino Wickman, Mike Paton",336 páginas,11h 12m,3.5,10,7,314,0,0,1,1,2
"Amor, natureza e magia - Jornadas xamânicas para o coração do meu jardim",Maria Rodale,256 páginas,8h 32m,4.4,19,9,553,1,3,5,2,6
A Rainha Guinevere -,Paula Lafferty,416 páginas,13h 52m,4.2,61,2,767,0,4,10,3,28
A Filha Grega (As Filhas Perdida #3) -,Soraya Lane,256 páginas,8h 32m,4.2,223,16,816,0,3,54,7,153
A curandeira de Zalindov (A curandeira de Zalindov #1) -,Lynette Noni,368 páginas,12h 16m,4.2,1108,122,4474,0,40,269,102,889
A Cuidadora Canina -,Julia Donaldson,32 páginas,1h 4m,4.5,35,1,23,1,0,5,1,19
10 leis para se tornar um pai inesquecível -,Maurício de Almeida,152 páginas,5h 4m,5,12,8,267,0,2,0,1,1
Você não é a sua ferida - ressignifique sua vida todos os dias,Alexandro Gruber,384 páginas,12h 48m,4,50,56,1516,0,7,7,8,15
Você merece emagrecer -,Gabriel Rena,160 páginas,5h 20m,3,11,17,503,1,9,1,0,2
Você e o universo -,Stephen Hawking,40 páginas,1h 20m,4.2,21,0,107,0,0,1,0,5
Vocação Verão -,Sarah Morgan,400 páginas,13h 20m,4.3,383,42,1115,0,8,96,47,298
Uma pergunta por dia - Para iluminar sua vida,Deepak Chopra,368 páginas,12h 16m,4.4,1177,533,4074,40,118,91,1,877
Uma Morte Tão Doce -,Kayla Cottingham,320 páginas,10h 40m,3.5,385,56,1049,3,20,133,23,319
Uma Jogada de Natal (Natal 2024) -,Carol Dias,72 páginas,2h 24m,3.7,26,0,341,1,3,3,1,8
Um Natal quentinho - O livro de colorir fofo e aconchegante,Coco Wyo,88 páginas,2h 56m,4.5,42,29,211,0,6,6,2,12
Um Natal Muito Feliz (Natal 2024) -,Samantha Baca,59 páginas,1h 58m,3.2,69,8,296,0,1,17,1,51
Trono De Monstros (Deuses E Monstros #2) -,Amber V. Nicole,512 páginas,17h 4m,4.2,1474,228,2743,2,58,298,106,1000
Travessuras de Natal (Natal 2024) -,Carly Phillips,62 páginas,2h 4m,3.4,16,1,146,0,4,3,0,7
Ser feliz é coisa da sua cabeça -,Joaquim Guimarães,240 páginas,8h 0m,4.5,17,20,449,1,3,1,5,2
Seja O Cara na era da inteligência artificial -,Marcelo Santoni,224 páginas,7h 28m,0,10,2,101,0,0,1,0,0
"Queria morrer, mas no céu (ainda) não tem tteokbokki -",Baek Sehee,192 páginas,6h 24m,3.8,316,69,2416,5,15,76,9,212
"Pai e pai, me contem a minha história? - (Tesouros de família)",Elma Van Vliet,176 páginas,5h 52m,0,2,6,46,0,1,0,1,0
O Princípio - Aprenda o segredo das mentes visionárias e transforme sua vida,Dra. Tara Swart,240 páginas,8h 0m,4.5,12,9,352,2,1,0,0,1
O planner do essencialismo - Um guia de 90 dias para realizar mais fazendo menos,Greg McKeown,224 páginas,7h 28m,4.1,307,61,1393,5,35,11,6,51
